year_month,ADM1_EN,convergence_score,metric
2020-03,Central Equatoria,0,num_mentions_sum
2020-04,Central Equatoria,0,num_mentions_sum
2020-05,Central Equatoria,0,num_mentions_sum
2020-06,Central Equatoria,1,num_mentions_sum
2020-07,Central Equatoria,0,num_mentions_sum
2020-08,Central Equatoria,0,num_mentions_sum
2020-09,Central Equatoria,0,num_mentions_sum
2020-10,Central Equatoria,0,num_mentions_sum
2020-11,Central Equatoria,0,num_mentions_sum
2020-12,Central Equatoria,0,num_mentions_sum
2021-01,Central Equatoria,0,num_mentions_sum
2021-02,Central Equatoria,0,num_mentions_sum
2021-03,Central Equatoria,0,num_mentions_sum
2021-04,Central Equatoria,0,num_mentions_sum
2021-05,Central Equatoria,0,num_mentions_sum
2021-06,Central Equatoria,0,num_mentions_sum
2021-07,Central Equatoria,0,num_mentions_sum
2021-08,Central Equatoria,2,num_mentions_sum
2021-09,Central Equatoria,0,num_mentions_sum
2021-10,Central Equatoria,0,num_mentions_sum
2021-11,Central Equatoria,0,num_mentions_sum
2021-12,Central Equatoria,1,num_mentions_sum
2022-01,Central Equatoria,0,num_mentions_sum
2022-02,Central Equatoria,1,num_mentions_sum
2022-03,Central Equatoria,1,num_mentions_sum
2022-04,Central Equatoria,1,num_mentions_sum
2022-05,Central Equatoria,0,num_mentions_sum
2022-06,Central Equatoria,1,num_mentions_sum
2022-07,Central Equatoria,1,num_mentions_sum
2022-08,Central Equatoria,0,num_mentions_sum
2022-09,Central Equatoria,1,num_mentions_sum
2022-10,Central Equatoria,0,num_mentions_sum
2022-11,Central Equatoria,1,num_mentions_sum
2022-12,Central Equatoria,1,num_mentions_sum
2023-01,Central Equatoria,0,num_mentions_sum
2023-02,Central Equatoria,0,num_mentions_sum
2023-03,Central Equatoria,0,num_mentions_sum
2023-04,Central Equatoria,1,num_mentions_sum
2023-05,Central Equatoria,0,num_mentions_sum
2023-06,Central Equatoria,0,num_mentions_sum
2023-07,Central Equatoria,0,num_mentions_sum
2023-08,Central Equatoria,0,num_mentions_sum
2023-09,Central Equatoria,0,num_mentions_sum
2023-10,Central Equatoria,0,num_mentions_sum
2023-11,Central Equatoria,0,num_mentions_sum
2023-12,Central Equatoria,0,num_mentions_sum
2024-01,Central Equatoria,0,num_mentions_sum
2024-02,Central Equatoria,1,num_mentions_sum
2024-03,Central Equatoria,1,num_mentions_sum
2024-04,Central Equatoria,0,num_mentions_sum
2024-05,Central Equatoria,0,num_mentions_sum
2024-06,Central Equatoria,0,num_mentions_sum
2024-07,Central Equatoria,0,num_mentions_sum
2024-08,Central Equatoria,2,num_mentions_sum
2024-09,Central Equatoria,0,num_mentions_sum
2024-10,Central Equatoria,0,num_mentions_sum
2024-11,Central Equatoria,1,num_mentions_sum
2024-12,Central Equatoria,0,num_mentions_sum
2025-01,Central Equatoria,1,num_mentions_sum
2025-02,Central Equatoria,0,num_mentions_sum
2025-03,Central Equatoria,1,num_mentions_sum
2025-04,Central Equatoria,1,num_mentions_sum
2025-05,Central Equatoria,0,num_mentions_sum
2025-06,Central Equatoria,0,num_mentions_sum
2025-07,Central Equatoria,1,num_mentions_sum
2025-08,Central Equatoria,0,num_mentions_sum
2025-09,Central Equatoria,1,num_mentions_sum
2025-10,Central Equatoria,1,num_mentions_sum
2025-11,Central Equatoria,0,num_mentions_sum
2025-12,Central Equatoria,1,num_mentions_sum
2014-03,Eastern Equatoria,0,num_mentions_sum
2014-04,Eastern Equatoria,0,num_mentions_sum
2014-05,Eastern Equatoria,0,num_mentions_sum
2014-07,Eastern Equatoria,0,num_mentions_sum
2014-11,Eastern Equatoria,0,num_mentions_sum
2014-12,Eastern Equatoria,0,num_mentions_sum
2015-01,Eastern Equatoria,0,num_mentions_sum
2015-02,Eastern Equatoria,0,num_mentions_sum
2015-03,Eastern Equatoria,1,num_mentions_sum
2015-04,Eastern Equatoria,1,num_mentions_sum
2015-05,Eastern Equatoria,0,num_mentions_sum
2015-06,Eastern Equatoria,2,num_mentions_sum
2015-07,Eastern Equatoria,2,num_mentions_sum
2015-08,Eastern Equatoria,5,num_mentions_sum
2015-09,Eastern Equatoria,1,num_mentions_sum
2015-10,Eastern Equatoria,0,num_mentions_sum
2015-11,Eastern Equatoria,1,num_mentions_sum
2015-12,Eastern Equatoria,2,num_mentions_sum
2016-01,Eastern Equatoria,0,num_mentions_sum
2016-02,Eastern Equatoria,0,num_mentions_sum
2016-03,Eastern Equatoria,0,num_mentions_sum
2016-04,Eastern Equatoria,0,num_mentions_sum
2016-05,Eastern Equatoria,1,num_mentions_sum
2016-06,Eastern Equatoria,0,num_mentions_sum
2016-07,Eastern Equatoria,2,num_mentions_sum
2016-08,Eastern Equatoria,1,num_mentions_sum
2016-09,Eastern Equatoria,1,num_mentions_sum
2016-10,Eastern Equatoria,3,num_mentions_sum
2016-11,Eastern Equatoria,0,num_mentions_sum
2016-12,Eastern Equatoria,0,num_mentions_sum
2017-01,Eastern Equatoria,0,num_mentions_sum
2017-02,Eastern Equatoria,1,num_mentions_sum
2017-03,Eastern Equatoria,3,num_mentions_sum
2017-04,Eastern Equatoria,1,num_mentions_sum
2017-05,Eastern Equatoria,1,num_mentions_sum
2017-06,Eastern Equatoria,1,num_mentions_sum
2017-07,Eastern Equatoria,1,num_mentions_sum
2017-08,Eastern Equatoria,0,num_mentions_sum
2017-09,Eastern Equatoria,1,num_mentions_sum
2017-10,Eastern Equatoria,0,num_mentions_sum
2017-11,Eastern Equatoria,1,num_mentions_sum
2017-12,Eastern Equatoria,0,num_mentions_sum
2018-01,Eastern Equatoria,3,num_mentions_sum
2018-02,Eastern Equatoria,1,num_mentions_sum
2018-03,Eastern Equatoria,1,num_mentions_sum
2018-04,Eastern Equatoria,1,num_mentions_sum
2018-05,Eastern Equatoria,1,num_mentions_sum
2018-06,Eastern Equatoria,0,num_mentions_sum
2018-07,Eastern Equatoria,0,num_mentions_sum
2018-08,Eastern Equatoria,0,num_mentions_sum
2018-09,Eastern Equatoria,0,num_mentions_sum
2018-10,Eastern Equatoria,1,num_mentions_sum
2018-11,Eastern Equatoria,0,num_mentions_sum
2018-12,Eastern Equatoria,0,num_mentions_sum
2019-01,Eastern Equatoria,0,num_mentions_sum
2019-02,Eastern Equatoria,0,num_mentions_sum
2019-03,Eastern Equatoria,0,num_mentions_sum
2019-04,Eastern Equatoria,1,num_mentions_sum
2019-05,Eastern Equatoria,1,num_mentions_sum
2019-06,Eastern Equatoria,0,num_mentions_sum
2019-07,Eastern Equatoria,0,num_mentions_sum
2019-08,Eastern Equatoria,0,num_mentions_sum
2019-09,Eastern Equatoria,0,num_mentions_sum
2019-10,Eastern Equatoria,0,num_mentions_sum
2019-11,Eastern Equatoria,0,num_mentions_sum
2019-12,Eastern Equatoria,0,num_mentions_sum
2020-01,Eastern Equatoria,1,num_mentions_sum
2020-02,Eastern Equatoria,0,num_mentions_sum
2020-03,Eastern Equatoria,0,num_mentions_sum
2020-04,Eastern Equatoria,2,num_mentions_sum
2020-05,Eastern Equatoria,0,num_mentions_sum
2020-06,Eastern Equatoria,0,num_mentions_sum
2020-07,Eastern Equatoria,0,num_mentions_sum
2020-08,Eastern Equatoria,0,num_mentions_sum
2020-09,Eastern Equatoria,0,num_mentions_sum
2020-10,Eastern Equatoria,0,num_mentions_sum
2020-11,Eastern Equatoria,1,num_mentions_sum
2020-12,Eastern Equatoria,1,num_mentions_sum
2021-01,Eastern Equatoria,0,num_mentions_sum
2021-02,Eastern Equatoria,0,num_mentions_sum
2021-03,Eastern Equatoria,1,num_mentions_sum
2021-04,Eastern Equatoria,2,num_mentions_sum
2021-05,Eastern Equatoria,3,num_mentions_sum
2021-06,Eastern Equatoria,3,num_mentions_sum
2021-07,Eastern Equatoria,1,num_mentions_sum
2021-08,Eastern Equatoria,3,num_mentions_sum
2021-09,Eastern Equatoria,0,num_mentions_sum
2021-10,Eastern Equatoria,1,num_mentions_sum
2021-11,Eastern Equatoria,0,num_mentions_sum
2021-12,Eastern Equatoria,0,num_mentions_sum
2022-01,Eastern Equatoria,0,num_mentions_sum
2022-02,Eastern Equatoria,0,num_mentions_sum
2022-03,Eastern Equatoria,1,num_mentions_sum
2022-04,Eastern Equatoria,0,num_mentions_sum
2022-05,Eastern Equatoria,0,num_mentions_sum
2022-06,Eastern Equatoria,0,num_mentions_sum
2022-07,Eastern Equatoria,0,num_mentions_sum
2022-08,Eastern Equatoria,1,num_mentions_sum
2022-09,Eastern Equatoria,1,num_mentions_sum
2022-10,Eastern Equatoria,0,num_mentions_sum
2022-11,Eastern Equatoria,1,num_mentions_sum
2022-12,Eastern Equatoria,0,num_mentions_sum
2023-01,Eastern Equatoria,0,num_mentions_sum
2023-02,Eastern Equatoria,1,num_mentions_sum
2023-03,Eastern Equatoria,1,num_mentions_sum
2023-04,Eastern Equatoria,0,num_mentions_sum
2023-05,Eastern Equatoria,0,num_mentions_sum
2023-06,Eastern Equatoria,0,num_mentions_sum
2023-07,Eastern Equatoria,1,num_mentions_sum
2023-08,Eastern Equatoria,0,num_mentions_sum
2023-09,Eastern Equatoria,2,num_mentions_sum
2023-10,Eastern Equatoria,0,num_mentions_sum
2023-11,Eastern Equatoria,0,num_mentions_sum
2023-12,Eastern Equatoria,0,num_mentions_sum
2024-01,Eastern Equatoria,0,num_mentions_sum
2024-02,Eastern Equatoria,1,num_mentions_sum
2024-03,Eastern Equatoria,1,num_mentions_sum
2024-04,Eastern Equatoria,0,num_mentions_sum
2024-05,Eastern Equatoria,0,num_mentions_sum
2024-06,Eastern Equatoria,1,num_mentions_sum
2024-07,Eastern Equatoria,0,num_mentions_sum
2024-08,Eastern Equatoria,1,num_mentions_sum
2024-09,Eastern Equatoria,0,num_mentions_sum
2024-10,Eastern Equatoria,1,num_mentions_sum
2024-11,Eastern Equatoria,0,num_mentions_sum
2024-12,Eastern Equatoria,0,num_mentions_sum
2025-01,Eastern Equatoria,0,num_mentions_sum
2025-02,Eastern Equatoria,0,num_mentions_sum
2025-03,Eastern Equatoria,1,num_mentions_sum
2025-04,Eastern Equatoria,0,num_mentions_sum
2025-05,Eastern Equatoria,1,num_mentions_sum
2025-06,Eastern Equatoria,0,num_mentions_sum
2025-07,Eastern Equatoria,0,num_mentions_sum
2025-08,Eastern Equatoria,0,num_mentions_sum
2025-09,Eastern Equatoria,1,num_mentions_sum
2025-10,Eastern Equatoria,0,num_mentions_sum
2025-11,Eastern Equatoria,1,num_mentions_sum
2025-12,Eastern Equatoria,0,num_mentions_sum
2014-03,Jonglei,0,num_mentions_sum
2014-04,Jonglei,0,num_mentions_sum
2014-05,Jonglei,0,num_mentions_sum
2014-07,Jonglei,0,num_mentions_sum
2014-11,Jonglei,0,num_mentions_sum
2014-12,Jonglei,0,num_mentions_sum
2015-01,Jonglei,0,num_mentions_sum
2015-02,Jonglei,0,num_mentions_sum
2015-03,Jonglei,2,num_mentions_sum
2015-04,Jonglei,0,num_mentions_sum
2015-05,Jonglei,3,num_mentions_sum
2015-06,Jonglei,0,num_mentions_sum
2015-07,Jonglei,0,num_mentions_sum
2015-08,Jonglei,3,num_mentions_sum
2015-09,Jonglei,1,num_mentions_sum
2015-10,Jonglei,1,num_mentions_sum
2015-11,Jonglei,0,num_mentions_sum
2015-12,Jonglei,0,num_mentions_sum
2016-01,Jonglei,0,num_mentions_sum
2016-02,Jonglei,1,num_mentions_sum
2016-03,Jonglei,1,num_mentions_sum
2016-04,Jonglei,0,num_mentions_sum
2016-05,Jonglei,0,num_mentions_sum
2016-06,Jonglei,0,num_mentions_sum
2016-07,Jonglei,1,num_mentions_sum
2016-08,Jonglei,0,num_mentions_sum
2016-09,Jonglei,0,num_mentions_sum
2016-10,Jonglei,0,num_mentions_sum
2016-11,Jonglei,0,num_mentions_sum
2016-12,Jonglei,2,num_mentions_sum
2017-01,Jonglei,0,num_mentions_sum
2017-02,Jonglei,2,num_mentions_sum
2017-03,Jonglei,1,num_mentions_sum
2017-04,Jonglei,3,num_mentions_sum
2017-05,Jonglei,0,num_mentions_sum
2017-06,Jonglei,1,num_mentions_sum
2017-07,Jonglei,1,num_mentions_sum
2017-08,Jonglei,0,num_mentions_sum
2017-09,Jonglei,1,num_mentions_sum
2017-10,Jonglei,0,num_mentions_sum
2017-11,Jonglei,1,num_mentions_sum
2017-12,Jonglei,3,num_mentions_sum
2018-01,Jonglei,2,num_mentions_sum
2018-02,Jonglei,1,num_mentions_sum
2018-03,Jonglei,0,num_mentions_sum
2018-04,Jonglei,1,num_mentions_sum
2018-05,Jonglei,1,num_mentions_sum
2018-06,Jonglei,0,num_mentions_sum
2018-07,Jonglei,0,num_mentions_sum
2018-08,Jonglei,2,num_mentions_sum
2018-09,Jonglei,1,num_mentions_sum
2018-10,Jonglei,1,num_mentions_sum
2018-11,Jonglei,3,num_mentions_sum
2018-12,Jonglei,0,num_mentions_sum
2019-01,Jonglei,1,num_mentions_sum
2019-02,Jonglei,0,num_mentions_sum
2019-03,Jonglei,0,num_mentions_sum
2019-04,Jonglei,0,num_mentions_sum
2019-05,Jonglei,0,num_mentions_sum
2019-06,Jonglei,0,num_mentions_sum
2019-07,Jonglei,0,num_mentions_sum
2019-08,Jonglei,0,num_mentions_sum
2019-09,Jonglei,0,num_mentions_sum
2019-10,Jonglei,0,num_mentions_sum
2019-11,Jonglei,0,num_mentions_sum
2019-12,Jonglei,0,num_mentions_sum
2020-01,Jonglei,0,num_mentions_sum
2020-02,Jonglei,0,num_mentions_sum
2020-03,Jonglei,0,num_mentions_sum
2020-04,Jonglei,1,num_mentions_sum
2020-05,Jonglei,1,num_mentions_sum
2020-06,Jonglei,1,num_mentions_sum
2020-07,Jonglei,0,num_mentions_sum
2020-08,Jonglei,0,num_mentions_sum
2020-09,Jonglei,1,num_mentions_sum
2020-10,Jonglei,0,num_mentions_sum
2020-11,Jonglei,1,num_mentions_sum
2020-12,Jonglei,2,num_mentions_sum
2021-01,Jonglei,0,num_mentions_sum
2021-02,Jonglei,0,num_mentions_sum
2021-03,Jonglei,1,num_mentions_sum
2021-04,Jonglei,1,num_mentions_sum
2021-05,Jonglei,0,num_mentions_sum
2021-06,Jonglei,0,num_mentions_sum
2021-07,Jonglei,0,num_mentions_sum
2021-08,Jonglei,2,num_mentions_sum
2021-09,Jonglei,0,num_mentions_sum
2021-10,Jonglei,0,num_mentions_sum
2021-11,Jonglei,1,num_mentions_sum
2021-12,Jonglei,0,num_mentions_sum
2022-01,Jonglei,3,num_mentions_sum
2022-02,Jonglei,0,num_mentions_sum
2022-03,Jonglei,0,num_mentions_sum
2022-04,Jonglei,2,num_mentions_sum
2022-05,Jonglei,0,num_mentions_sum
2022-06,Jonglei,0,num_mentions_sum
2022-07,Jonglei,1,num_mentions_sum
2022-08,Jonglei,1,num_mentions_sum
2022-09,Jonglei,0,num_mentions_sum
2022-10,Jonglei,0,num_mentions_sum
2022-11,Jonglei,0,num_mentions_sum
2022-12,Jonglei,2,num_mentions_sum
2023-01,Jonglei,2,num_mentions_sum
2023-02,Jonglei,0,num_mentions_sum
2023-03,Jonglei,2,num_mentions_sum
2023-04,Jonglei,1,num_mentions_sum
2023-05,Jonglei,1,num_mentions_sum
2023-06,Jonglei,0,num_mentions_sum
2023-07,Jonglei,1,num_mentions_sum
2023-08,Jonglei,0,num_mentions_sum
2023-09,Jonglei,0,num_mentions_sum
2023-10,Jonglei,0,num_mentions_sum
2023-11,Jonglei,0,num_mentions_sum
2023-12,Jonglei,0,num_mentions_sum
2024-01,Jonglei,1,num_mentions_sum
2024-02,Jonglei,0,num_mentions_sum
2024-03,Jonglei,0,num_mentions_sum
2024-04,Jonglei,0,num_mentions_sum
2024-05,Jonglei,0,num_mentions_sum
2024-06,Jonglei,1,num_mentions_sum
2024-07,Jonglei,0,num_mentions_sum
2024-08,Jonglei,0,num_mentions_sum
2024-09,Jonglei,0,num_mentions_sum
2024-10,Jonglei,0,num_mentions_sum
2024-11,Jonglei,0,num_mentions_sum
2024-12,Jonglei,1,num_mentions_sum
2025-01,Jonglei,0,num_mentions_sum
2025-02,Jonglei,0,num_mentions_sum
2025-03,Jonglei,1,num_mentions_sum
2025-04,Jonglei,0,num_mentions_sum
2025-05,Jonglei,3,num_mentions_sum
2025-06,Jonglei,0,num_mentions_sum
2025-07,Jonglei,0,num_mentions_sum
2025-08,Jonglei,2,num_mentions_sum
2025-09,Jonglei,1,num_mentions_sum
2025-10,Jonglei,0,num_mentions_sum
2025-11,Jonglei,0,num_mentions_sum
2025-12,Jonglei,0,num_mentions_sum
2014-03,Lakes,0,num_mentions_sum
2014-04,Lakes,0,num_mentions_sum
2014-05,Lakes,0,num_mentions_sum
2014-07,Lakes,0,num_mentions_sum
2014-11,Lakes,0,num_mentions_sum
2014-12,Lakes,0,num_mentions_sum
2015-01,Lakes,0,num_mentions_sum
2015-02,Lakes,1,num_mentions_sum
2015-03,Lakes,0,num_mentions_sum
2015-04,Lakes,1,num_mentions_sum
2015-05,Lakes,2,num_mentions_sum
2015-06,Lakes,3,num_mentions_sum
2015-07,Lakes,3,num_mentions_sum
2015-08,Lakes,2,num_mentions_sum
2015-09,Lakes,1,num_mentions_sum
2015-10,Lakes,2,num_mentions_sum
2015-11,Lakes,3,num_mentions_sum
2015-12,Lakes,1,num_mentions_sum
2016-01,Lakes,0,num_mentions_sum
2016-02,Lakes,1,num_mentions_sum
2016-03,Lakes,0,num_mentions_sum
2016-04,Lakes,0,num_mentions_sum
2016-05,Lakes,0,num_mentions_sum
2016-06,Lakes,0,num_mentions_sum
2016-07,Lakes,0,num_mentions_sum
2016-08,Lakes,0,num_mentions_sum
2016-09,Lakes,0,num_mentions_sum
2016-10,Lakes,0,num_mentions_sum
2016-11,Lakes,0,num_mentions_sum
2016-12,Lakes,0,num_mentions_sum
2017-01,Lakes,0,num_mentions_sum
2017-02,Lakes,0,num_mentions_sum
2017-03,Lakes,3,num_mentions_sum
2017-04,Lakes,0,num_mentions_sum
2017-05,Lakes,2,num_mentions_sum
2017-06,Lakes,0,num_mentions_sum
2017-07,Lakes,0,num_mentions_sum
2017-08,Lakes,1,num_mentions_sum
2017-09,Lakes,0,num_mentions_sum
2017-10,Lakes,1,num_mentions_sum
2017-11,Lakes,1,num_mentions_sum
2017-12,Lakes,0,num_mentions_sum
2018-01,Lakes,1,num_mentions_sum
2018-02,Lakes,0,num_mentions_sum
2018-03,Lakes,1,num_mentions_sum
2018-04,Lakes,0,num_mentions_sum
2018-05,Lakes,0,num_mentions_sum
2018-06,Lakes,0,num_mentions_sum
2018-07,Lakes,0,num_mentions_sum
2018-08,Lakes,0,num_mentions_sum
2018-09,Lakes,1,num_mentions_sum
2018-10,Lakes,1,num_mentions_sum
2018-11,Lakes,0,num_mentions_sum
2018-12,Lakes,0,num_mentions_sum
2019-01,Lakes,0,num_mentions_sum
2019-02,Lakes,0,num_mentions_sum
2019-03,Lakes,0,num_mentions_sum
2019-04,Lakes,0,num_mentions_sum
2019-05,Lakes,1,num_mentions_sum
2019-06,Lakes,0,num_mentions_sum
2019-07,Lakes,0,num_mentions_sum
2019-08,Lakes,0,num_mentions_sum
2019-09,Lakes,0,num_mentions_sum
2019-10,Lakes,0,num_mentions_sum
2019-11,Lakes,0,num_mentions_sum
2019-12,Lakes,0,num_mentions_sum
2020-01,Lakes,0,num_mentions_sum
2020-02,Lakes,0,num_mentions_sum
2020-03,Lakes,0,num_mentions_sum
2020-04,Lakes,1,num_mentions_sum
2020-05,Lakes,0,num_mentions_sum
2020-06,Lakes,2,num_mentions_sum
2020-07,Lakes,1,num_mentions_sum
2020-08,Lakes,0,num_mentions_sum
2020-09,Lakes,0,num_mentions_sum
2020-10,Lakes,0,num_mentions_sum
2020-11,Lakes,0,num_mentions_sum
2020-12,Lakes,0,num_mentions_sum
2021-01,Lakes,0,num_mentions_sum
2021-02,Lakes,0,num_mentions_sum
2021-03,Lakes,0,num_mentions_sum
2021-04,Lakes,1,num_mentions_sum
2021-05,Lakes,1,num_mentions_sum
2021-06,Lakes,1,num_mentions_sum
2021-07,Lakes,2,num_mentions_sum
2021-08,Lakes,1,num_mentions_sum
2021-09,Lakes,1,num_mentions_sum
2021-10,Lakes,2,num_mentions_sum
2021-11,Lakes,1,num_mentions_sum
2021-12,Lakes,0,num_mentions_sum
2022-01,Lakes,0,num_mentions_sum
2022-02,Lakes,0,num_mentions_sum
2022-03,Lakes,1,num_mentions_sum
2022-04,Lakes,0,num_mentions_sum
2022-05,Lakes,0,num_mentions_sum
2022-06,Lakes,0,num_mentions_sum
2022-07,Lakes,0,num_mentions_sum
2022-08,Lakes,0,num_mentions_sum
2022-09,Lakes,0,num_mentions_sum
2022-10,Lakes,0,num_mentions_sum
2022-11,Lakes,0,num_mentions_sum
2022-12,Lakes,0,num_mentions_sum
2023-01,Lakes,0,num_mentions_sum
2023-02,Lakes,0,num_mentions_sum
2023-03,Lakes,0,num_mentions_sum
2023-04,Lakes,0,num_mentions_sum
2023-05,Lakes,0,num_mentions_sum
2023-06,Lakes,1,num_mentions_sum
2023-07,Lakes,0,num_mentions_sum
2023-08,Lakes,0,num_mentions_sum
2023-09,Lakes,1,num_mentions_sum
2023-10,Lakes,0,num_mentions_sum
2023-11,Lakes,1,num_mentions_sum
2023-12,Lakes,1,num_mentions_sum
2024-01,Lakes,0,num_mentions_sum
2024-02,Lakes,0,num_mentions_sum
2024-03,Lakes,0,num_mentions_sum
2024-04,Lakes,0,num_mentions_sum
2024-05,Lakes,1,num_mentions_sum
2024-06,Lakes,0,num_mentions_sum
2024-07,Lakes,0,num_mentions_sum
2024-08,Lakes,1,num_mentions_sum
2024-09,Lakes,0,num_mentions_sum
2024-10,Lakes,0,num_mentions_sum
2024-11,Lakes,0,num_mentions_sum
2024-12,Lakes,0,num_mentions_sum
2025-01,Lakes,0,num_mentions_sum
2025-02,Lakes,1,num_mentions_sum
2025-03,Lakes,1,num_mentions_sum
2025-04,Lakes,1,num_mentions_sum
2025-05,Lakes,1,num_mentions_sum
2025-06,Lakes,0,num_mentions_sum
2025-07,Lakes,0,num_mentions_sum
2025-08,Lakes,1,num_mentions_sum
2025-09,Lakes,1,num_mentions_sum
2025-10,Lakes,0,num_mentions_sum
2025-11,Lakes,0,num_mentions_sum
2025-12,Lakes,0,num_mentions_sum
2014-03,Northern Bahr el Ghazal,0,num_mentions_sum
2014-04,Northern Bahr el Ghazal,0,num_mentions_sum
2014-05,Northern Bahr el Ghazal,0,num_mentions_sum
2014-07,Northern Bahr el Ghazal,0,num_mentions_sum
2014-11,Northern Bahr el Ghazal,0,num_mentions_sum
2014-12,Northern Bahr el Ghazal,0,num_mentions_sum
2015-01,Northern Bahr el Ghazal,0,num_mentions_sum
2015-02,Northern Bahr el Ghazal,0,num_mentions_sum
2015-03,Northern Bahr el Ghazal,1,num_mentions_sum
2015-04,Northern Bahr el Ghazal,3,num_mentions_sum
2015-05,Northern Bahr el Ghazal,1,num_mentions_sum
2015-06,Northern Bahr el Ghazal,2,num_mentions_sum
2015-07,Northern Bahr el Ghazal,2,num_mentions_sum
2015-08,Northern Bahr el Ghazal,2,num_mentions_sum
2015-09,Northern Bahr el Ghazal,1,num_mentions_sum
2015-10,Northern Bahr el Ghazal,0,num_mentions_sum
2015-11,Northern Bahr el Ghazal,0,num_mentions_sum
2015-12,Northern Bahr el Ghazal,1,num_mentions_sum
2016-01,Northern Bahr el Ghazal,0,num_mentions_sum
2016-02,Northern Bahr el Ghazal,3,num_mentions_sum
2016-03,Northern Bahr el Ghazal,2,num_mentions_sum
2016-04,Northern Bahr el Ghazal,0,num_mentions_sum
2016-05,Northern Bahr el Ghazal,1,num_mentions_sum
2016-06,Northern Bahr el Ghazal,1,num_mentions_sum
2016-07,Northern Bahr el Ghazal,3,num_mentions_sum
2016-08,Northern Bahr el Ghazal,1,num_mentions_sum
2016-09,Northern Bahr el Ghazal,1,num_mentions_sum
2016-10,Northern Bahr el Ghazal,1,num_mentions_sum
2016-11,Northern Bahr el Ghazal,1,num_mentions_sum
2016-12,Northern Bahr el Ghazal,1,num_mentions_sum
2017-01,Northern Bahr el Ghazal,1,num_mentions_sum
2017-02,Northern Bahr el Ghazal,1,num_mentions_sum
2017-03,Northern Bahr el Ghazal,2,num_mentions_sum
2017-04,Northern Bahr el Ghazal,3,num_mentions_sum
2017-05,Northern Bahr el Ghazal,2,num_mentions_sum
2017-06,Northern Bahr el Ghazal,2,num_mentions_sum
2017-07,Northern Bahr el Ghazal,0,num_mentions_sum
2017-08,Northern Bahr el Ghazal,1,num_mentions_sum
2017-09,Northern Bahr el Ghazal,0,num_mentions_sum
2017-10,Northern Bahr el Ghazal,0,num_mentions_sum
2017-11,Northern Bahr el Ghazal,2,num_mentions_sum
2017-12,Northern Bahr el Ghazal,3,num_mentions_sum
2018-01,Northern Bahr el Ghazal,2,num_mentions_sum
2018-02,Northern Bahr el Ghazal,0,num_mentions_sum
2018-03,Northern Bahr el Ghazal,0,num_mentions_sum
2018-04,Northern Bahr el Ghazal,0,num_mentions_sum
2018-05,Northern Bahr el Ghazal,1,num_mentions_sum
2018-06,Northern Bahr el Ghazal,0,num_mentions_sum
2018-07,Northern Bahr el Ghazal,1,num_mentions_sum
2018-08,Northern Bahr el Ghazal,1,num_mentions_sum
2018-09,Northern Bahr el Ghazal,0,num_mentions_sum
2018-10,Northern Bahr el Ghazal,0,num_mentions_sum
2018-11,Northern Bahr el Ghazal,0,num_mentions_sum
2018-12,Northern Bahr el Ghazal,0,num_mentions_sum
2019-01,Northern Bahr el Ghazal,0,num_mentions_sum
2019-02,Northern Bahr el Ghazal,0,num_mentions_sum
2019-03,Northern Bahr el Ghazal,0,num_mentions_sum
2019-04,Northern Bahr el Ghazal,0,num_mentions_sum
2019-05,Northern Bahr el Ghazal,0,num_mentions_sum
2019-06,Northern Bahr el Ghazal,0,num_mentions_sum
2019-07,Northern Bahr el Ghazal,0,num_mentions_sum
2019-08,Northern Bahr el Ghazal,0,num_mentions_sum
2019-09,Northern Bahr el Ghazal,0,num_mentions_sum
2019-10,Northern Bahr el Ghazal,0,num_mentions_sum
2019-11,Northern Bahr el Ghazal,0,num_mentions_sum
2019-12,Northern Bahr el Ghazal,0,num_mentions_sum
2020-01,Northern Bahr el Ghazal,0,num_mentions_sum
2020-02,Northern Bahr el Ghazal,0,num_mentions_sum
2020-03,Northern Bahr el Ghazal,1,num_mentions_sum
2020-04,Northern Bahr el Ghazal,0,num_mentions_sum
2020-05,Northern Bahr el Ghazal,0,num_mentions_sum
2020-06,Northern Bahr el Ghazal,0,num_mentions_sum
2020-07,Northern Bahr el Ghazal,0,num_mentions_sum
2020-08,Northern Bahr el Ghazal,0,num_mentions_sum
2020-09,Northern Bahr el Ghazal,0,num_mentions_sum
2020-10,Northern Bahr el Ghazal,0,num_mentions_sum
2020-11,Northern Bahr el Ghazal,0,num_mentions_sum
2020-12,Northern Bahr el Ghazal,0,num_mentions_sum
2021-01,Northern Bahr el Ghazal,0,num_mentions_sum
2021-02,Northern Bahr el Ghazal,0,num_mentions_sum
2021-03,Northern Bahr el Ghazal,1,num_mentions_sum
2021-04,Northern Bahr el Ghazal,0,num_mentions_sum
2021-05,Northern Bahr el Ghazal,0,num_mentions_sum
2021-06,Northern Bahr el Ghazal,1,num_mentions_sum
2021-07,Northern Bahr el Ghazal,0,num_mentions_sum
2021-08,Northern Bahr el Ghazal,0,num_mentions_sum
2021-09,Northern Bahr el Ghazal,0,num_mentions_sum
2021-10,Northern Bahr el Ghazal,0,num_mentions_sum
2021-11,Northern Bahr el Ghazal,0,num_mentions_sum
2021-12,Northern Bahr el Ghazal,2,num_mentions_sum
2022-01,Northern Bahr el Ghazal,2,num_mentions_sum
2022-02,Northern Bahr el Ghazal,1,num_mentions_sum
